
Summary of Generated Graphs:
-------------------------------------------------------------------------------------
   Step     Nodes     Edges     Chromatic #    Arboricity      Is Planar   
   222       232        47          10              4            False     
   223       233        45          10              5            False     
   224       234        45          10              5            False     
   225       235        47          10              4            False     
   226       236        45          10              5            False     
   227       237        58          10              2            False     
   228       238        46          10              4            False     
   229       239        50          10              3            False     
   230       240        51          10              3            False     
   231       241        45          10              5            False     
   232       242        47          10              4            False     
   233       243        46          10              4            False     
   234       244        64          10              5            False     
   235       245        45          10              5            False     
   236       246        45          10              5            False     
   237       247        54          10              3            False     
   238       248        50          10              3            False     
   239       249        49          10              4            False     
   240       250        48          10              4            False     
   241       251        46          10              4            False     
   242       252        53          10              3            False     
   243       253        46          10              4            False     
   244       254        49          10              3            False     
   245       255        48          10              4            False     
   246       256        54          10              3            False     
   247       257        46          10              4            False     
   248       258        49          10              3            False     
   249       259        50          10              3            False     
   250       260        47          10              4            False     
   251       261        49          10              3            False     
   252       262        56          10              2            False     
   253       263        60          10              2            False     
   254       264        58          10              2            False     
   255       265        65          10              2            False     
   256       266        69          10              2            False     
-------------------------------------------------------------------------------------
